bin_center,content,error
0.5203,229126,478.671
0.5209,231572,481.219
0.5215,234110,483.849
0.5221,237986,487.838
0.5227,240190,490.092
0.5233,242446,492.388
0.5239,243882,493.844
0.5245,245846,495.829
0.5251,248637,498.635
0.5257,252407,502.401
0.5263,254047,504.031
0.5269,256810,506.764
0.5275,259238,509.154
0.5281,261376,511.249
0.5287,263918,513.73
0.5293,266713,516.443
0.5299,269728,519.353
0.5305,271727,521.274
0.5311,275340,524.729
0.5317,276945,526.256
0.5323,280491,529.614
0.5329,283578,532.52
0.5335,286137,534.918
0.5341,288565,537.182
0.5347,291291,539.714
0.5353,294868,543.017
0.5359,297780,545.692
0.5365,301232,548.846
0.5371,305686,552.889
0.5377,308952,555.835
0.5383,312792,559.278
0.5389,317777,563.717
0.5395,323287,568.583
0.5401,329149,573.715
0.5407,335910,579.577
0.5413,343641,586.209
0.5419,354940,595.768
0.5425,365198,604.316
0.5431,378379,615.125
0.5437,393189,627.048
0.5443,409409,639.851
0.5449,428592,654.669
0.5455,447807,669.184
0.5461,464754,681.729
0.5467,479269,692.293
0.5473,488376,698.839
0.5479,491096,700.782
0.5485,488042,698.6
0.5491,479721,692.619
0.5497,464807,681.768
0.5503,450243,671.001
0.5509,434481,659.152
0.5515,422879,650.291
0.5521,412768,642.47
0.5527,404761,636.208
0.5533,396608,629.768
0.5539,391988,626.089
0.5545,389201,623.86
0.5551,387784,622.723
0.5557,386098,621.368
0.5563,386499,621.69
0.5569,386907,622.018
0.5575,388470,623.274
0.5581,390096,624.577
0.5587,391426,625.64
0.5593,392238,626.289
0.5599,396378,629.586
0.5605,396540,629.714
0.5611,397391,630.39
0.5617,400315,632.705
0.5623,403614,635.306
0.5629,405144,636.509
0.5635,408302,638.985
0.5641,409886,640.223
0.5647,412846,642.531
0.5653,414423,643.757
0.5659,417880,646.436
0.5665,419738,647.872
0.5671,422091,649.685
0.5677,424433,651.485
0.5683,427207,653.611
0.5689,429453,655.327
0.5695,430969,656.482
0.5701,433096,658.1
0.5707,435821,660.167
0.5713,439208,662.728
0.5719,440368,663.602
0.5725,442718,665.371
0.5731,445975,667.814
0.5737,449233,670.248
0.5743,451138,671.668
0.5749,453572,673.478
0.5755,455229,674.707
0.5761,459359,677.76
0.5767,461645,679.445
0.5773,463806,681.033
0.5779,465909,682.575
0.5785,468209,684.258
0.5791,472483,687.374
0.5797,474039,688.505
